product_id,product_name,category,unit_price,is_active,created_at
1,Classic Backpack,beauty,238.84,True,2025-04-16 06:50:42.570005
2,Smart Headphones,books,489.07,True,2024-09-17 00:26:28.793792
3,Eco Lamp,fashion,327.02,True,2024-09-18 00:15:17.071849
4,Portable Backpack,sports,324.72,True,2024-05-24 22:57:47.525335
5,Premium Shoes,books,119.95,True,2025-03-03 16:21:17.973296
6,Premium Bottle,fashion,441.71,True,2024-06-15 12:33:42.835661
7,Premium Watch,fashion,395.04,True,2025-06-17 16:58:02.962106
8,Eco Watch,sports,438.99,True,2024-07-29 12:26:03.902799
9,Essential Notebook,electronics,464.59,True,2024-07-31 07:10:21.028798
10,Classic Shoes,books,264.54,True,2024-12-19 14:26:51.082093
11,Smart Watch,books,236.67,True,2024-05-25 23:26:18.460850
12,Premium Backpack,home,366.9,True,2025-11-08 23:29:34.332736
13,Eco Bottle,electronics,369.63,True,2024-10-16 16:46:03.431726
14,Essential Shoes,home,91.87,True,2025-04-28 20:14:31.881253
15,Classic Watch,fashion,260.06,True,2025-01-30 04:46:42.512852
16,Eco Headphones,home,490.93,True,2025-06-23 12:40:00.168589
17,Smart Headphones,sports,194.87,True,2025-05-23 09:13:26.762187
18,Portable Backpack,sports,293.32,True,2024-09-24 20:36:59.438121
19,Portable Shoes,sports,347.92,True,2026-01-08 07:09:17.550838
20,Premium Lamp,sports,84.06,True,2025-11-05 08:25:45.251123
21,Eco Watch,sports,346.69,True,2024-08-03 15:21:58.301821
22,Portable Backpack,books,114.32,False,2024-08-02 05:30:14.824454
23,Classic Bottle,fashion,375.13,True,2025-08-14 00:00:14.033995
24,Classic Shoes,books,456.83,True,2025-05-10 03:17:44.016015
25,Eco Watch,home,382.12,True,2025-11-05 12:47:22.782403
26,Essential Watch,electronics,265.13,True,2024-06-10 10:11:18.918640
27,Portable Headphones,books,60.54,True,2025-03-24 10:05:19.702196
28,Essential Bottle,books,270.65,True,2024-04-04 01:15:17.653710
29,Essential Lamp,electronics,341.75,True,2024-06-17 08:41:50.016876
30,Classic Headphones,books,225.51,True,2024-07-24 06:38:58.218947
31,Smart Notebook,fashion,231.12,True,2025-02-14 00:45:02.376449
32,Classic Shoes,sports,363.02,True,2025-07-07 23:22:49.629454
33,Premium Shoes,home,291.26,True,2025-11-03 15:09:56.864742
34,Portable Shoes,electronics,272.88,True,2026-01-07 16:25:04.627452
35,Premium Lamp,electronics,147.11,True,2025-05-08 16:27:01.610131
36,Smart Watch,beauty,489.27,True,2025-02-20 11:16:17.084329
37,Classic Backpack,fashion,227.03,True,2025-05-19 19:45:42.196391
38,Classic Lamp,electronics,342.95,True,2026-01-13 03:03:00.982747
39,Essential Bottle,beauty,430.84,True,2024-11-27 23:50:27.939657
40,Essential Lamp,books,68.04,False,2025-06-25 21:41:00.301797
41,Premium Watch,electronics,489.35,True,2025-07-06 23:02:09.542927
42,Eco Notebook,fashion,268.31,True,2024-12-20 23:16:21.418947
43,Smart Lamp,sports,81.79,True,2024-10-20 01:22:20.432689
44,Eco Watch,electronics,20.95,True,2024-06-23 00:02:48.104407
45,Essential Watch,electronics,124.13,True,2024-04-09 10:27:04.604519
46,Essential Headphones,fashion,300.9,True,2024-06-14 04:00:32.178135
47,Premium Bottle,beauty,26.9,True,2024-04-10 18:47:03.943234
48,Essential Bottle,electronics,74.37,False,2026-01-10 20:18:52.232090
49,Smart Watch,beauty,290.17,True,2025-10-28 01:58:33.354891
50,Eco Watch,sports,122.27,True,2024-08-18 09:59:13.322612
51,Eco Notebook,home,209.71,True,2025-06-09 00:30:00.760253
52,Essential Notebook,beauty,456.23,True,2025-06-09 18:28:05.059686
53,Classic Notebook,fashion,28.21,True,2025-01-17 07:39:56.190948
54,Eco Shoes,fashion,393.97,True,2025-05-24 21:24:36.065691
55,Classic Lamp,home,153.44,True,2025-09-11 19:39:11.190157
56,Essential Lamp,home,425.42,True,2024-08-06 03:16:13.443088
57,Eco Bottle,fashion,457.8,True,2024-10-18 21:23:33.300174
58,Classic Notebook,books,71.38,True,2025-02-04 20:23:17.737890
59,Smart Backpack,beauty,44.14,True,2025-02-11 22:22:17.572998
60,Portable Headphones,books,363.67,True,2024-04-14 18:13:57.339760
61,Portable Lamp,beauty,304.46,True,2024-07-20 12:03:23.515991
62,Premium Bottle,books,363.53,True,2024-07-11 07:52:19.879644
63,Classic Bottle,sports,155.08,True,2025-07-15 05:02:17.291879
64,Smart Bottle,beauty,63.07,False,2026-01-06 09:14:58.900198
65,Classic Bottle,beauty,304.18,True,2025-02-10 06:08:40.331620
66,Smart Notebook,sports,388.88,True,2025-10-28 14:35:54.111852
67,Essential Shoes,sports,157.67,True,2025-04-27 12:20:48.785942
68,Classic Lamp,electronics,402.39,True,2024-08-13 03:00:28.365348
69,Portable Bottle,sports,159.9,True,2025-04-16 22:10:05.989624
70,Smart Shoes,home,13.03,True,2025-10-11 04:53:45.938559
71,Essential Notebook,beauty,211.7,True,2024-05-04 06:34:55.013197
72,Portable Bottle,fashion,287.05,True,2024-04-05 09:52:32.939505
73,Essential Shoes,beauty,172.09,True,2025-05-27 19:25:11.511525
74,Classic Shoes,beauty,371.1,True,2025-07-22 05:54:50.238089
75,Eco Watch,sports,88.79,True,2026-01-16 20:36:01.145632
